EasyChat.exe | 0x43b7df | aaa ; add al, byte ptr [eax] ; ret 0xc
EasyChat.exe | 0x408e35 | aaa ; add al, dl ; ret
EasyChat.exe | 0x408eb3 | aaa ; add byte ptr [ebx + 0x5b5e5fc7], cl ; ret
EasyChat.exe | 0x429365 | aaa ; out dx, eax ; std ; dec dword ptr [ebx + 0x3b682444] ; ret
EasyChat.exe | 0x4563ba | aaa ; pop edi ; jne 0x4563c8 ; xor eax, eax ; pop esi ; leave ; ret 0x10
EasyChat.exe | 0x450b0e | aad 0x5d ; pop edi ; pop esi ; pop ebx ; add esp, 0x48 ; ret 0x10
EasyChat.exe | 0x451132 | aad 0x5d ; pop edi ; pop esi ; pop ebx ; add esp, 4 ; ret
EasyChat.exe | 0x432636 | aad 0x5e ; mov al, bl ; pop ebp ; pop ebx ; add esp, 0x1c ; ret
EasyChat.exe | 0x42af0c | aad 0xfd ; dec dword ptr [ebx + 0x3b44244c] ; retf
EasyChat.exe | 0x441201 | aad 1 ; add byte ptr [edi + 0x5e], bl ; ret
EasyChat.exe | 0x45d7f1 | aad 6 ; add byte ptr [eax], al ; mov eax, esi ; pop esi ; ret 4
EasyChat.exe | 0x4349e1 | aam 0 ; add byte ptr [eax], al ; ret
EasyChat.exe | 0x422ee6 | aam 0x51 ; add eax, dword ptr [eax] ; pop ecx ; ret 4
EasyChat.exe | 0x42c357 | aam 0x9b ; inc edi ; add al, ch ; ret 0x25a
EasyChat.exe | 0x463a37 | aam 0xe9 ; ret
EasyChat.exe | 0x463c2f | aam 0xe9 ; retf
EasyChat.exe | 0x44873d | aam 0xeb ; xchg eax, esi ; pop esi ; pop edi ; lea eax, [edx - 1] ; pop ebx ; ret
EasyChat.exe | 0x43505f | aam 1 ; add byte ptr [eax], al ; ret
EasyChat.exe | 0x420a18 | aam 5 ; add byte ptr [eax], al ; pop edi ; pop esi ; pop ebx ; ret 0xc
EasyChat.exe | 0x4468a9 | aas ; push dword ptr [edi + eax - 0x75] ; ret
EasyChat.exe | 0x446c5d | aas ; sbb al, byte ptr [eax] ; add byte ptr [ecx + 0x3b], bl ; ret
EasyChat.exe | 0x420fd8 | adc al, 0 ; add byte ptr [eax], al ; pop edi ; pop esi ; pop ebx ; ret 0xc
EasyChat.exe | 0x453182 | adc al, 0 ; mov eax, 0x80004001 ; ret 4
EasyChat.exe | 0x45676e | adc al, 0 ; mov eax, 0xffff ; ret 8
EasyChat.exe | 0x4536f8 | adc al, 0 ; pop esi ; ret
EasyChat.exe | 0x45fd20 | adc al, 0 ; ret 0x45fc
EasyChat.exe | 0x454ee5 | adc al, 0 ; xor eax, eax ; pop esi ; ret
EasyChat.exe | 0x421f46 | adc al, 0x11 ; mov al, 1 ; mov byte ptr [edi], dl ; pop edi ; ret 0x18
EasyChat.exe | 0x441dd3 | adc al, 0x18 ; add byte ptr [eax], al ; pop ecx ; ret
EasyChat.exe | 0x457517 | adc al, 0x33 ; fstp xword ptr [ecx] ; pop esi ; sbb al, 0xf ; xchg eax, esp ; ret
EasyChat.exe | 0x440308 | adc al, 0x33 ; rcr byte ptr [edi + 0x5e], 0x5d ; ret 0x10
EasyChat.exe | 0x414e08 | adc al, 0x3b ; ret
EasyChat.exe | 0x43abcd | adc al, 0x3b ; retf 0x974
EasyChat.exe | 0x435e27 | adc al, 0x57 ; push eax ; mov ecx, esi ; call 0x45292c
EasyChat.exe | 0x435e5c | adc al, 0x57 ; push ecx ; mov ecx, esi ; call 0x45292c
EasyChat.exe | 0x435e91 | adc al, 0x57 ; push edx ; mov ecx, esi ; call 0x45292c
EasyChat.exe | 0x4516c0 | adc al, 0x5d ; pop edi ; pop esi ; pop ebx ; add esp, 0x14 ; ret
EasyChat.exe | 0x44f91c | adc al, 0x5d ; pop edi ; pop esi ; pop ebx ; add esp, 0x18 ; ret 0x10
EasyChat.exe | 0x450acc | adc al, 0x5d ; pop edi ; pop esi ; pop ebx ; add esp, 0x48 ; ret 0x10
