frhed.exe | 0x4021aa | adc al, 0x5e ; ret
frhed.exe | 0x401eaa | adc eax, 0x40303c ; xor eax, eax ; ret
frhed.exe | 0x401e60 | adc eax, 0x403048 ; leave ; ret
frhed.exe | 0x401d50 | adc eax, 0x4030d0 ; pop ecx ; xor eax, eax ; ret
frhed.exe | 0x401976 | adc eax, 0x403114 ; mov esp, ebp ; pop ebp ; ret 0x10
frhed.exe | 0x401f8b | add al, 0x3b ; div dword ptr [edx - 0xf] ; pop edi ; pop esi ; ret
frhed.exe | 0x40223b | add al, 0x40 ; inc eax ; add byte ptr [esi + 0x5f], bl ; pop ebx ; leave ; ret
frhed.exe | 0x4020d5 | add al, al ; sete dl ; mov eax, edx ; ret
frhed.exe | 0x40217a | add al, ch ; loop 0x402187 ; add byte ptr [eax], al ; add esp, 0x18 ; ret
frhed.exe | 0x401ea8 | add bh, bh ; adc eax, 0x40303c ; xor eax, eax ; ret
frhed.exe | 0x4021ce | add bh, bh ; push dword ptr [ebp + ecx - 0x7b] ; ret
frhed.exe | 0x401a44 | add byte ptr [eax + 0x40], al ; add byte ptr [ebp + 2], dh ; ret
frhed.exe | 0x401e5d | add byte ptr [eax - 1], dl ; adc eax, 0x403048 ; leave ; ret
frhed.exe | 0x402148 | add byte ptr [eax], al ; add byte ptr [eax], al ; ret
frhed.exe | 0x4021a6 | add byte ptr [eax], al ; add esp, 0x14 ; pop esi ; ret
frhed.exe | 0x40217e | add byte ptr [eax], al ; add esp, 0x18 ; ret
frhed.exe | 0x4014c7 | add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret 0x10
frhed.exe | 0x401561 | add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret 8
frhed.exe | 0x401c25 | add byte ptr [eax], al ; pop ecx ; pop ecx ; ret
frhed.exe | 0x4020bf | add byte ptr [eax], al ; pop ecx ; pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401a98 | add byte ptr [eax], al ; pop ecx ; ret
frhed.exe | 0x401c78 | add byte ptr [eax], al ; ret
frhed.exe | 0x4020d4 | add byte ptr [eax], al ; ror byte ptr [edi], 0x94 ; ret 0xc28b
frhed.exe | 0x401e9d | add byte ptr [eax], al ; xor eax, eax ; ret 4
frhed.exe | 0x401a47 | add byte ptr [ebp + 2], dh ; ret
frhed.exe | 0x4019f2 | add byte ptr [ebx + 0x2eb0cc4], al ; xor eax, eax ; pop ebp ; ret
frhed.exe | 0x4021a7 | add byte ptr [ebx - 0x3ca1eb3c], al ; xor eax, eax ; ret
frhed.exe | 0x401c26 | add byte ptr [ecx + 0x59], bl ; ret
frhed.exe | 0x4020c0 | add byte ptr [ecx + 0x5f], bl ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x40223e | add byte ptr [esi + 0x5f], bl ; pop ebx ; leave ; ret
frhed.exe | 0x401e64 | add cl, cl ; ret
frhed.exe | 0x401a49 | add dh, bl ; ret
frhed.exe | 0x4014c6 | add eax, 0xe58b0000 ; pop ebp ; ret 0x10
frhed.exe | 0x4020d3 | add eax, 0xfc00000 ; xchg eax, esp ; ret 0xc28b
frhed.exe | 0x401c24 | add eax, dword ptr [eax] ; add byte ptr [ecx + 0x59], bl ; ret
frhed.exe | 0x401f89 | add esi, 4 ; cmp esi, edi ; jb 0x401f8a ; pop edi ; pop esi ; ret
frhed.exe | 0x401fad | add esi, 4 ; cmp esi, edi ; jb 0x401fae ; pop edi ; pop esi ; ret
frhed.exe | 0x4021a8 | add esp, 0x14 ; pop esi ; ret
frhed.exe | 0x402180 | add esp, 0x18 ; ret
frhed.exe | 0x401a33 | cld ; mov eax, dword ptr [ebp - 4] ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401a36 | cld ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401fc6 | cmp dword ptr [ebp + 0x5a], ecx ; je 0x401fd5 ; xor eax, eax ; ret
frhed.exe | 0x401fc5 | cmp dword ptr [ecx], 0x3745a4d ; xor eax, eax ; ret
frhed.exe | 0x401a42 | cmp ecx, dword ptr [0x404000] ; jne 0x401a55 ; ret
frhed.exe | 0x402028 | cmp edx, esi ; jb 0x40201b ; xor eax, eax ; pop edi ; pop esi ; pop ebx ; ret
frhed.exe | 0x401f8c | cmp esi, edi ; jb 0x401f87 ; pop edi ; pop esi ; ret
frhed.exe | 0x401fb0 | cmp esi, edi ; jb 0x401fab ; pop edi ; pop esi ; ret
frhed.exe | 0x401fc4 | cmp word ptr [ecx], 0x5a4d ; je 0x401fd7 ; xor eax, eax ; ret
frhed.exe | 0x401f6d | dec eax ; ret
frhed.exe | 0x401e61 | dec eax ; xor byte ptr [eax], al ; leave ; ret
frhed.exe | 0x401fc7 | dec ebp ; pop edx ; je 0x401fd4 ; xor eax, eax ; ret
frhed.exe | 0x401f8d | div dword ptr [edx - 0xf] ; pop edi ; pop esi ; ret
frhed.exe | 0x401f67 | fcomp dword ptr [ebx] ; sal bh, 0xd8 ; pop ecx ; dec eax ; ret
frhed.exe | 0x401f6b | fcomp dword ptr [ecx + 0x48] ; ret
frhed.exe | 0x40215d | in eax, 0x5d ; push ecx ; ret
frhed.exe | 0x401a38 | in eax, 0x5d ; ret
frhed.exe | 0x4014ca | in eax, 0x5d ; ret 0x10
frhed.exe | 0x401564 | in eax, 0x5d ; ret 8
frhed.exe | 0x401a46 | inc eax ; add byte ptr [ebp + 2], dh ; ret
frhed.exe | 0x40223d | inc eax ; add byte ptr [esi + 0x5f], bl ; pop ebx ; leave ; ret
frhed.exe | 0x401e63 | inc eax ; add cl, cl ; ret
frhed.exe | 0x401a45 | inc eax ; inc eax ; add byte ptr [ebp + 2], dh ; ret
frhed.exe | 0x40223c | inc eax ; inc eax ; add byte ptr [esi + 0x5f], bl ; pop ebx ; leave ; ret
frhed.exe | 0x401c64 | inc eax ; ret
frhed.exe | 0x401a32 | inc ebp ; cld ; mov eax, dword ptr [ebp - 4] ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401a35 | inc ebp ; cld ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401f8f | int1 ; pop edi ; pop esi ; ret
frhed.exe | 0x401f8e | jb 0x401f85 ; pop edi ; pop esi ; ret
frhed.exe | 0x401fb2 | jb 0x401fa9 ; pop edi ; pop esi ; ret
frhed.exe | 0x40202a | jb 0x402019 ; xor eax, eax ; pop edi ; pop esi ; pop ebx ; ret
frhed.exe | 0x401fc9 | je 0x401fd2 ; xor eax, eax ; ret
frhed.exe | 0x401a48 | jne 0x401a4f ; ret
frhed.exe | 0x4014c5 | jns 0x4014d3 ; add byte ptr [eax], al ; mov esp, ebp ; pop ebp ; ret 0x10
frhed.exe | 0x401fdf | js 0x402002 ; or eax, dword ptr [ecx] ; sete cl ; mov eax, ecx ; ret
frhed.exe | 0x402143 | lea eax, [ebp - 0x10] ; mov dword ptr fs:[0], eax ; ret
frhed.exe | 0x401e65 | leave ; ret
frhed.exe | 0x402181 | les ebx, ptr [eax] ; ret
frhed.exe | 0x4021a9 | les edx, ptr [esi + ebx*2] ; ret
frhed.exe | 0x40217c | loop 0x402185 ; add byte ptr [eax], al ; add esp, 0x18 ; ret
frhed.exe | 0x401f8a | mov byte ptr [ebx + edi], 0xf7 ; jb 0x401f89 ; pop edi ; pop esi ; ret
frhed.exe | 0x401fae | mov byte ptr [ebx + edi], 0xf7 ; jb 0x401fad ; pop edi ; pop esi ; ret
frhed.exe | 0x402147 | mov dword ptr [0], eax ; ret
frhed.exe | 0x401a31 | mov dword ptr [ebp - 4], eax ; mov eax, dword ptr [ebp - 4] ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x402146 | mov dword ptr fs:[0], eax ; ret
frhed.exe | 0x401a34 | mov eax, dword ptr [ebp - 4] ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401fe6 | mov eax, ecx ; ret
frhed.exe | 0x4020da | mov eax, edx ; ret
frhed.exe | 0x40215c | mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x401a37 | mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x4014c9 | mov esp, ebp ; pop ebp ; ret 0x10
frhed.exe | 0x401563 | mov esp, ebp ; pop ebp ; ret 8
frhed.exe | 0x401f6a | neg eax ; pop ecx ; dec eax ; ret
frhed.exe | 0x401f66 | neg eax ; sbb eax, eax ; neg eax ; pop ecx ; dec eax ; ret
frhed.exe | 0x402021 | or al, 0x83 ; ret 0x8301
frhed.exe | 0x401a43 | or eax, 0x404000 ; jne 0x401a54 ; ret
frhed.exe | 0x401fe1 | or eax, dword ptr [ecx] ; sete cl ; mov eax, ecx ; ret
frhed.exe | 0x40202b | out 0x33, al ; rcr byte ptr [edi + 0x5e], 0x5b ; ret
frhed.exe | 0x40215e | pop ebp ; push ecx ; ret
frhed.exe | 0x4019fa | pop ebp ; ret
frhed.exe | 0x4014cb | pop ebp ; ret 0x10
frhed.exe | 0x401565 | pop ebp ; ret 8
frhed.exe | 0x402241 | pop ebx ; leave ; ret
frhed.exe | 0x40215b | pop ebx ; mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x4020c4 | pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x402030 | pop ebx ; ret
frhed.exe | 0x401f6c | pop ecx ; dec eax ; ret
frhed.exe | 0x401c27 | pop ecx ; pop ecx ; ret
frhed.exe | 0x402157 | pop ecx ; pop edi ; pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; push ecx ; ret
frhed.exe | 0x4020c1 | pop ecx ; pop edi ; pop esi ; pop ebx ; mov esp, ebp ; pop ebp ; ret
frhed.exe | 0x401a9a | pop ecx ; ret
