7-zip.dll | 0x10005153 | adc al, 0x41 ; mov eax, edx ; jmp 0x10005162
7-zip.dll | 0x10002829 | adc al, 0x53 ; inc r10 ; jmp 0x1000287d
7-zip.dll | 0x10001491 | adc al, 0x88 ; mov rax, qword ptr [r10] ; lea rax, [rax + rdx*2] ; ret
7-zip.dll | 0x10006a17 | adc al, byte ptr [rax] ; add byte ptr [rax - 0x75], cl ; retf
7-zip.dll | 0x10001c60 | adc byte ptr [rax - 0x75], cl ; ret 0x8348
7-zip.dll | 0x10001ea4 | adc byte ptr [rax - 0x75], cl ; retf
7-zip.dll | 0x10006a0b | adc byte ptr [rbx + 0x74c085f8], cl ; adc byte ptr [rax - 0x75], cl ; retf
7-zip.dll | 0x1000bcdc | adc byte ptr [rsi - 9], ah ; sar edi, 0xff ; jne 0x1000bced ; ret
7-zip.dll | 0x100020ca | adc cl, byte ptr [rax + 0x3b] ; retf 0xe274
7-zip.dll | 0x10001c2d | adc cl, byte ptr [rax - 0x75] ; retf
7-zip.dll | 0x1000498b | adc dword ptr [rcx - 0x74cfdba4], ecx ; retf
7-zip.dll | 0x10006ff7 | adc eax, 0x506c ; add rsp, 0x28 ; ret
7-zip.dll | 0x10007020 | adc eax, 0x51f3 ; add rsp, 0x28 ; ret
7-zip.dll | 0x10004eb2 | adc eax, 0x7161 ; add rsp, 0x48 ; ret
7-zip.dll | 0x10001a45 | adc eax, 0x8bd00341 ; ret 0xe8d1
7-zip.dll | 0x10005094 | adc ecx, dword ptr [rax - 0x75] ; retf
7-zip.dll | 0x10007664 | adc ecx, dword ptr [rax - 0x7d] ; ret 0x6602
7-zip.dll | 0x10001037 | adc ecx, dword ptr [rcx - 1] ; ret
7-zip.dll | 0x10002397 | add ah, cl ; add rsp, 0x28 ; ret
7-zip.dll | 0x10003589 | add al, 0 ; add byte ptr [rbx], bh ; ret
7-zip.dll | 0x10003b11 | add al, 0x2f ; jne 0x10003b24 ; mov eax, 1 ; ret
7-zip.dll | 0x1000211d | add al, 0x40 ; add byte ptr [rax], al ; mov dword ptr [rcx + 8], edx ; ret
7-zip.dll | 0x10008e7e | add al, 0x41 ; pop rsp ; add byte ptr [rcx - 1], al ; ret
7-zip.dll | 0x10001498 | add al, 0x50 ; ret
7-zip.dll | 0x10003ad1 | add al, 0x51 ; pop rsp ; add bh, bh ; ret 0xc766
7-zip.dll | 0x1000286f | add al, 0x53 ; std ; dec dword ptr [rcx - 1] ; ret 0x3245
7-zip.dll | 0x10006da6 | add al, 0x80 ; add rsp, 0x28 ; ret
7-zip.dll | 0x1000667d | add al, 2 ; pop rdi ; add byte ptr [rbp - 0x26], dh ; ret
7-zip.dll | 0x10006da5 | add al, byte ptr [rax + rax*4] ; add rsp, 0x28 ; ret
7-zip.dll | 0x10002e74 | add al, byte ptr [rax] ; add byte ptr [rdi + 0x5e], bl ; pop rbp ; pop rbx ; ret
7-zip.dll | 0x10003f63 | add al, byte ptr [rax] ; add byte ptr [rdi + 0x5e], bl ; pop rbx ; ret
